slug,in_build,status,units,group,source
inchdairnie-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
inchgower-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
invergordon-distillery,yes,operating (SWA),1,Whyte & Mackay,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
isle-of-barra-distillers,yes,not yet producing,0,residual,https://isleofbarradistillers.com/pages/barra-whisky
isle-of-bute-distillery,yes,gin / other,0,residual,https://isleofbutedistillery.com/
isle-of-cumbrae-distillers,yes,gin / other,0,residual,https://isleofcumbrae-distillers.com/
isle-of-harris-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
isle-of-jura-distillery,yes,operating (SWA),1,Whyte & Mackay,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
isle-of-raasay-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
isle-of-skye-distillers,yes,not yet producing (unconfirmed),0,residual,https://isleofskyedistillers.com/news/
isle-of-tiree-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
jackton-distillery,no,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
kilchoman-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
kingsbarns-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
kininvie-distillery,yes,operating (SWA),1,William Grant,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
kinrara-distillery,yes,gin / other,0,residual,https://www.kinraradistillery.com/
knockando-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
kythe-distillery,yes,commissioned; outside SWA list,1,residual,https://kythedistillery.com/
lagavulin-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
lagg-distillery,yes,operating (SWA),1,Isle of Arran,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
laggan-bay-distillery,yes,operating (SWA),1,Ian Macleod,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
laphroaig-distillery,yes,operating (SWA),1,Suntory,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
lindores-abbey-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
linkwood-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
linlithgow-distillery,yes,gin / other,0,residual,https://www.linlithgowdistillery.uk/
loch-lomond-distillery,yes,operating (SWA),2,Loch Lomond,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
lochlea-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
longmorn-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
luss-distillery,yes,gin / other,0,residual,https://lussdistillery.com/
macduff-distillery,yes,operating (SWA),1,Bacardi,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
mannochmore-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
miltonduff-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
moffat-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
mortlach-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
ncnean-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
newbridge-bond-the-benriach-distillery-company-limited,yes,warehouse / bottling,0,Brown-Forman,https://www.glenglassaugh.com/benriach-announces-record-profits-and-new-25-million-investment/
