slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
distillerie-vent-du-nord,Distillerie Vent du Nord,"110-A Bd Comeau, Baie-Comeau, QC G4Z 3A9, Canada",,osm,unmatched,0,none,0,,,,69.8,no_name_candidate_below_70,NC-S-4,"PIEDMONT DISTILLERS, INC.",,NC,MADISON
garden-state-distillery,Garden State Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NJ-S-20049,GARDEN STATE DISTILLERY LLC,Garden State Distillery,NJ,BRICK
heritage-distilling-company,Heritage Distilling Company,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,OR-S-20037,"HERITAGE DISTILLING COMPANY, INC.","Heritage Distilling Company, Inc.",OR,EUGENE
sons-of-vancouver,Sons of Vancouver,"1431 Crown St, North Vancouver, BC V7J 1G4, Canada",,osm,unmatched,0,none,0,,,,56.2,no_name_candidate_below_70,WA-S-20014,VANCOUVER DISTILLERY WORKS LLC,,WA,VANCOUVER
tofino-distillery,Tofino Distillery,"681 Industrial Way Unit G, Tofino, BC V0R 2Z0, Canada",,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,NV-S-20023,"SALUTE SPIRITS, INC.",Ferino Distillery,NV,RENO
yoga-pants-vodkas,Yoga Pants Vodkas,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20118,YOGA PANTS VODKAS LLC,,NY,BUFFALO
distillerie-du-saint-laurent,Distillerie du Saint-Laurent,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,NM-S-20012,CREATIVE SPIRITS DISTILLERY,Dry Point Distillers,NM,LAS CRUCES
twin-valley-distillers,Twin Valley Distillers,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MD-S-20005,CELICAR L.L.C.,Twin Valley Distillers,MD,ROCKVILLE
etta-place-cider,Etta Place Cider,,,osm,unmatched,0,none,0,,,,62.1,no_name_candidate_below_70,MI-S-20220,COPPER KETTLE II LLC,Copper Kettle,MI,PRUDENVILLE
whitefish-handcrafted-spirits,Whitefish Handcrafted Spirits,,,osm,unmatched,0,none,0,,,,64.9,no_name_candidate_below_70,PA-S-20164,ANDREW WHITEHEAD,A.R. Whitehead Distillery,PA,SUSQUEHANNA
