slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
deep-eddy-distillery,Deep Eddy Distillery,"2250 US-290, Dripping Springs, TX 78620, USA",TX,osm,unmatched,63.2,none,0.0,,,
dark-door-spirits,Dark Door Spirits,,,osm,unmatched,0,none,0,,,
west-end-distillery,West End Distillery,"3 N Shafer St, Athens, OH 45701, USA",OH,osm,unmatched,66.7,none,0.0,,,
six-mile-ordinary,Six Mile Ordinary,"700 Fay St, Columbia, MO 65201, USA",MO,osm,unmatched,62.5,none,0.5,,,
four-fights-distilling,Four Fights Distilling,,,osm,unmatched,0,none,0,,,
artisan-grain-distillery,Artisan Grain Distillery,"318 E 2nd St, Davenport, IA 52801, USA",IA,osm,unmatched,48.8,none,0.143,,,
lockhouse-distillery,Lockhouse Distillery,,,osm,unmatched,0,none,0,,,
rock-filter-distillery,Rock Filter Distillery,"113 Maple Dr, Spring Grove, MN 55974, USA",MN,osm,unmatched,57.1,none,0.429,,,
sugar-tit-moonshine-distillery,Sugar Tit Moonshine Distillery,"330 Main St, Reidville, SC 29375, USA",SC,osm,unmatched,42.9,none,0.167,,,
dalton-distillery,Dalton Distillery,,,osm,unmatched,0,none,0,,,
yardley-distillery-production-site,Yardley Distillery Production Site,,,osm,unmatched,0,none,0,,,
the-distillery-infusion-room-at-kiepersol,The Distillery & Infusion Room at Kiepersol,"21556-A Merlot Ln, Tyler, TX 75703, USA",TX,osm,unmatched,52.4,none,0.0,,,
honeoye-falls-distillery,Honeoye Falls Distillery,,,osm,unmatched,0,none,0,,,
old-fourth-distillery,Old Fourth Distillery,,,osm,unmatched,0,none,0,,,
enchanted-rock-vodka,Enchanted Rock Vodka,"26605 Bulverde Rd, San Antonio, TX 78260, USA",TX,osm,unmatched,51.6,none,0.143,,,
j-henry-sons-bourbon-tasting-room-farm,J. Henry & Sons Bourbon Tasting Room & Farm,"7794 Patton Rd, Dane, WI 53529, USA",WI,osm,unmatched,49.1,none,0.5,,,
omega-gin-company,Omega Gin Company,,,osm,unmatched,0,none,0,,,
graybeard-distillery,Graybeard Distillery,,,osm,unmatched,0,none,0,,,
local-goat-distillery,Local Goat Distillery,,,osm,unmatched,0,none,0,,,
ole-smoky-moonshine,Ole Smoky Moonshine,"250 Rep. John Lewis Way S, Nashville, TN 37203, USA",TN,osm,unmatched,64.3,none,0.0,,,
source-farmhouse-brewery,Source Farmhouse Brewery,"NJ-34, Colts Neck, NJ 07722, USA",NJ,osm,unmatched,50.0,none,0.0,,,
rlb-distillery-co,RLB Distillery Co.,,,osm,unmatched,0,none,0,,,
bayou-rum-louisiana-spirits-distillery,Bayou Rum Louisiana Spirits Distillery,"20909 S Frontage Rd, Lacassine, LA 70650, USA",LA,osm,unmatched,64.3,none,0.429,,,
milam-and-greene-whiskey-distillery-and-tasting-room,Milam and Greene Whiskey Distillery and Tasting Room,"208 Carlie Ln, Blanco, TX 78606, USA",TX,osm,unmatched,52.5,none,0.0,,,
bud-light,Bud Light,,,osm,unmatched,0,none,0,,,
treaty-oak-distillery,Treaty Oak Distillery,"31610 Ranch Rd 12, Dripping Springs, TX 78620, USA",TX,osm,unmatched,55.6,none,0.0,,,
caledonia-spirits-inc,Caledonia Spirits Inc.,,,osm,unmatched,0,none,0,,,
urbana-hill-distilling,Urbana Hill Distilling,,,osm,unmatched,0,none,0,,,
lux-row-distillers,Lux Row Distillers,,,osm,unmatched,0,none,0,,,
bluegrass-distillers,Bluegrass Distillers,,,osm,unmatched,0,none,0,,,
1205-distillery,1205 Distillery,"120 Camilla Ct Suite A, Westfield, IN 46074, USA",IN,osm,unmatched,44.4,none,0.0,,,
wild-roots-x-wyld-cbd,Wild Roots x Wyld CBD,,,osm,unmatched,0,none,0,,,
moonshine-ridge,Moonshine Ridge,,,osm,unmatched,0,none,0,,,
upnorth-distillery,UpNorth Distillery,"846 N Boulder Ct, Post Falls, ID 83854, USA",ID,osm,unmatched,66.7,none,0.5,,,
seven-troughs-distilling-co,Seven Troughs Distilling Co.,,,osm,unmatched,0,none,0,,,
sledge-distillery-distillation-bldg,Sledge Distillery - Distillation Bldg,"8210 Paluxy Hwy, Tolar, TX 76476, USA",TX,osm,unmatched,66.7,none,0.0,,,
warrior-liquor,Warrior Liquor,"714 N Lee St, Spokane, WA 99202, USA",WA,osm,unmatched,58.1,none,0.0,,,
rock-solid-distillery,Rock Solid Distillery,,,osm,unmatched,0,none,0,,,
marfa-spirit-co,Marfa Spirit Co.,"320 W El Paso St, Marfa, TX 79843, USA",TX,osm,unmatched,55.6,none,0.0,,,
bhakta-griswold-campus,Bhakta-Griswold Campus,"1 Brennan Cir, Poultney, VT 05764, USA",VT,osm,unmatched,40.0,none,0.0,,,
crooked-tail-distilery,Crooked Tail Distilery,,,osm,unmatched,0,none,0,,,
striped-lion-distilling,Striped Lion Distilling,,,osm,unmatched,0,none,0,,,
bismarck-brewing,Bismarck Brewing,,,osm,unmatched,0,none,0,,,
bently-heritage-estate-distillery-public-house,Bently Heritage Estate Distillery & Public House,"1601 Water St, Minden, NV 89423, USA",NV,osm,unmatched,49.1,none,0.0,,,
springbrook-hollow-farm-distillery,Springbrook Hollow Farm Distillery,,,osm,unmatched,0,none,0,,,
carmichael-brother-s-distillery,Carmichael Brother's Distillery,,,osm,unmatched,0,none,0,,,
fierce-whiskers-distillery,Fierce Whiskers Distillery,,,osm,unmatched,0,none,0,,,
new-richmond-distilleries,New Richmond Distilleries,,,osm,unmatched,0,none,0,,,
mayberry-spirits-distillery,Mayberry Spirits Distillery,,,osm,unmatched,0,none,0,,,
salty-stash,Salty Stash,,,osm,unmatched,0,none,0,,,
third-rail-distillery,Third Rail Distillery,"407 N Clayton St, Lawrenceville, GA 30046, USA",GA,osm,unmatched,64.5,none,0.429,,,
fernweh-distilling-co,Fernweh Distilling Co.,,,osm,unmatched,0,none,0,,,
whiskey-hollow-distillery,Whiskey Hollow Distillery,,,osm,unmatched,0,none,0,,,
the-ingram-distillery,The Ingram Distillery,"11217 KY-58, Columbus, KY 42032, USA",KY,osm,unmatched,55.6,none,0.0,,,
covalent-spirits-distillery-tasting-room,Covalent Spirits Distillery & Tasting Room,"118 E Main St, Westminster, MD 21157, USA",MD,osm,unmatched,55.2,none,0.571,,,
green-bay-distillery,Green Bay Distillery,"835 Mike McCarthy Way, Ashwaubenon, WI 54304, USA",WI,google-places,unmatched,50.0,none,0.0,,,
starlight-distillery,Starlight Distillery,"19816 Huber Rd, Borden, IN 47106, USA",IN,google-places,unmatched,69.2,none,0.5,,,
wicked-dolphin-distillery,Wicked Dolphin Distillery,"131 SW 3rd Pl, Cape Coral, FL 33991, USA",FL,google-places,unmatched,46.2,none,0.0,,,
american-freedom-distillery,American Freedom Distillery,"2232 5th Ave S Suite B, St. Petersburg, FL 33712, USA",FL,google-places,unmatched,57.9,none,0.111,,,
