slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
long-road-distillers-grand-haven,Long Road Distillers - Grand Haven,"18 Washington Ave, Grand Haven, MI 49417, USA",MI,google-places,review,76.9,name,0.0,MI-S-20024,LONG ROAD DISTILLERS LLC,Long Road Distillers
crossroad-distilling-company,Crossroad Distilling Company,"6017 Sherman-Westfield Rd, Westfield, NY 14787, USA",NY,google-places,review,82.1,name,0.0,NY-S-20076,"CORTLAND BEER COMPANY, LLC",Cortland Distilling Company
hillrock-estate-distillery,Hillrock Estate Distillery,"408 Poole Hill Rd, Ancram, NY 12502, USA",NY,google-places,review,78.6,name,0.0,NY-S-20240,"KLOCKE ESTATE DISTILLERY, LLC",Klocke Estate
harvest-spirits-farm-distillery,Harvest Spirits Farm Distillery,"3074 US-9, Valatie, NY 12184, USA",NY,google-places,review,73.7,name,0.4,NY-S-15010,"HARVEST SPIRITS, LLC",Harvest Spirits
killdeer-distilling-newport,Killdeer Distilling Newport,"881 NW Beach Dr, Newport, OR 97365, USA",OR,google-places,review,82.6,name,0.0,OR-S-20062,FIRST WATER SPIRITS LLC,KILLDEER DISTILLING
glacier-45-distillery,GLACIER 45 DISTILLERY,"1901 Main St, Baker City, OR 97814, USA",OR,google-places,review,73.7,name,0.429,OR-S-20041,GLACIER45 LLC,Glacier45 Distillery
grand-teton-distillery,Grand Teton Distillery,"1755 ID-33, Driggs, ID 83422, USA",ID,google-places,review,78.6,name,0.4,ID-S-20001,"GRAND TETON VODKA, INC.",
la-crosse-distilling-co,La Crosse Distilling Co.,"129 Vine St, La Crosse, WI 54601, USA",WI,google-places,review,70.0,name,0.143,WI-S-20058,S&S DISTILLING CO.,Tight Barrel Distillery
handen-distillery,Handen Distillery,"W62 N590, w62n590 Washington Ave, Cedarburg, WI 53012, USA",WI,google-places,review,83.3,name,0.375,WI-S-20026,"JKLM DISTILLING PARTNERS, LLC",Händen Distillery
milwaukee-brewing-distilling-company,Milwaukee Brewing & Distilling Company,"2335 S Kinnickinnic Ave, Milwaukee, WI 53207, USA",WI,google-places,review,71.4,name,0.0,WI-S-20044,JACKSON WINE LLC,Geneva Lake Distilling
moravian-sons-distillery,Moravian Sons Distillery,"315 W Main St, Lowell, MI 49331, USA",MI,google-places,review,70.3,name,0.143,MI-S-20181,MORAVIAN SONS DISTILLING LLC.,Moravian Sons Distilling
norden-distilling,Norden Distilling,"2416 E Coon Lake Trail, Howell, MI 48843, USA",MI,google-places,review,78.9,name,0.0,MI-S-20135,WONDERLAND DISTILLING CO.,Wonderland Distilling
tamworth-distilling-mercantile,Tamworth Distilling & Mercantile,"15 Cleveland Hill Rd, Tamworth, NH 03886, USA",NH,google-places,review,74.1,name,0.0,NH-S-20007,"SAZERAC OF NEW HAMPSHIRE, LLC",Granite State Distilling
batson-river-brewing-distilling-kennebunk,Batson River Brewing & Distilling - Kennebunk,"12 Western Ave, Kennebunk, ME 04043, USA",ME,google-places,review,82.1,name,0.0,ME-S-20024,"LUCKY DOG DISTILLING, LLC",Batson River Brewing & Distilling
travis-hasse-distilling-co,Travis Hasse Distilling Co.,"7071 Kickaboo Rd, Waunakee, WI 53597, USA",WI,google-places,review,79.1,name,0.0,WI-S-20058,S&S DISTILLING CO.,Tight Barrel Distillery
wonderland-distilling-production,Wonderland Distilling Production,"2217 Lemuel St, Muskegon Heights, MI 49444, USA",MI,google-places,review,79.2,name,0.429,MI-S-20135,WONDERLAND DISTILLING CO.,Wonderland Distilling
mad-river-distillers-burlington,Mad River Distillers Burlington,"137 St Paul St, Burlington, VT 05401, USA",VT,google-places,review,78.4,name,0.0,VT-S-20002,"COLD SPRING SPIRITS, LLC",Mad River Distillers
obbink-distilling,Obbink Distilling,"11 Date St E, St Joseph, MN 56374, USA",MN,google-places,review,72.2,name,0.143,MN-S-20023,HENNEPIN DISTILLING LLC,HENNEPIN DISTILLING LLC
von-stiehl-winery-distillery-cidery,Von Stiehl • Winery • Distillery • Cidery,"115 Navarino St, Algoma, WI 54201, USA",WI,google-places,review,74.1,name,0.167,WI-S-20033,VON STIEHL WINERY LTD.,von Stiehl Winery
northern-latitudes-distillery-suttons-bay,Northern Latitudes Distillery Suttons Bay,"310 N St Joseph St, Suttons Bay, MI 49682, USA",MI,google-places,review,75.0,name,0.0,MI-S-20001,"NORTHERN LATITUDES DISTILLERY, LLC",
olympic-distillers,Olympic Distillers,"356 Freshwater Bay Rd, Port Angeles, WA 98363, USA",WA,google-places,review,75.0,name,0.0,WA-S-20086,"DISTILLERS WAY, LLC",
